package_name,latest_version
typeapi,2.3.0
aws-cdk-aws-apigatewayv2-alpha,2.114.1a0
llama-index-llms-gemini,0.6.2
apache-airflow-providers-grpc,3.9.2
dagster-duckdb,0.28.20
mypy-boto3-chime-sdk-meetings,1.42.3
python-logstash-async,4.1.0
vonage-subaccounts,1.0.4
htbuilder,0.9.0
slumber,0.7.1
jsonc-parser,1.1.5
airportsdata,20260315
mypy-boto3-route53domains,1.42.3
pysqlsync,0.8.4
dynamic-yaml,2.0.0
wandelbots-api-client,26.2.0
types-aiobotocore-devicefarm,3.3.0
azure-mgmt-managementpartner,1.0.0
qiskit-experiments,0.13.0
confusable-homoglyphs,3.3.1
sgmllib3k,1.0.0
types-aiobotocore-personalize,3.3.0
types-aiobotocore-mgn,3.3.0
mypy-boto3-controltower,1.42.3
vonage-network-number-verification,1.0.2
pyinstaller-hooks-contrib,2026.3
langchain-azure-ai,1.1.1
mypy-boto3-supplychain,1.42.3
vonage-verify-legacy,1.0.1
sqlalchemy-filters,0.13.0
pytest-reraise,2.1.2
bokeh,3.9.0
agent-framework-copilotstudio,1.0.0b260319
mypy-boto3-payment-cryptography-data,1.42.12
awsglue3-local,1.0.0
types-opencolorio,2.4.2.0
tensorflow-io-gcs-filesystem,0.37.1
edx-milestones,1.1.0
types-aiobotocore-cloudhsmv2,3.3.0
types-aiobotocore-amplify,3.3.0
django-allow-cidr,0.8.0
gruut,2.4.0
aws-cdk-aws-codecommit,1.204.0
tdewolff-minify,2.24.10
essential-generators,1.0
python-jobspy,1.1.82
bravado-core,6.1.1
urwid,3.0.5
mypy-boto3-codeguru-security,1.42.3
scikit-build-core,0.12.2
scikit-survival,0.27.0
openwakeword,0.6.0
pyecharts,2.1.0
pinecone-plugin-interface,0.0.7
types-aiobotocore-codeguru-reviewer,3.3.0
mypy-boto3-resource-groups,1.42.3
opentelemetry-propagator-aws-xray,1.0.2
jake,3.0.14
pip-licenses-lib,1.1.0
pyats-async,26.2
azureml-dataset-runtime,1.62.0
opentelemetry-util-genai,0.3b0
cssutils,2.11.1
types-aiobotocore-resiliencehub,3.3.0
gender-guesser,0.4.0
speechrecognition,3.15.1
pyobjc-framework-security,12.1
drf-flex-fields,1.0.2
types-aiobotocore-appflow,3.3.0
rest-connector,26.2
mypy-boto3-snowball,1.42.3
ipy,1.01
types-aiobotocore-healthlake,3.3.0
starlette-csrf,3.0.0
pcpp,1.30
mypy-boto3-connectcampaigns,1.42.3
types-aiobotocore-imagebuilder,3.3.0
html-sanitizer,2.6.0
surrogate,0.1
openbb,4.7.1
pydomo,0.3.0.16
snapshot-restore-py,1.0.0
vlmrun,0.5.10
mypy-boto3-iotdeviceadvisor,1.42.3
pystardog,0.20.0
passagemath-objects,10.8.2
pyats-log,26.2
supervisor,4.3.0
aiohttp-sse,2.2.0
langchain-tavily,0.2.17
pytest-webdriver,1.8.0
pymunk,7.2.0
qrdet,2.5
mypy-boto3-kafkaconnect,1.42.47
environ-config,24.1.0
azure-mgmt-datalake-nspkg,3.0.1
conda-package-streaming,0.12.0
gigachat,0.2.0
types-aiobotocore-devops-guru,3.3.0
python3-openid,3.2.0
curated-tokenizers,2.0.0
brainstem,2.12.2
sparse,0.18.0
gdsfactory,9.39.3
netifaces2,0.0.22
types-aiobotocore-amplifyuibuilder,3.3.0
dlt,1.24.0
nvitop,1.6.2
allure-python-commons,2.15.3
codetiming,1.4.0
types-aiobotocore-iottwinmaker,3.3.0
oslo-messaging,17.3.0
django-stubs-ext,6.0.1
types-aiobotocore-mediaconnect,3.3.0
python-jwt,4.1.0
starlette-admin,0.16.0
intake,2.0.9
robocorp-vault,1.4.0
types-aiobotocore-mediatailor,3.3.0
azure-cli,2.84.0
